step; process; value
4; 62; 0.36198
4; 63; 0.32837
5; 0; 0.52713
5; 1; 0.26653
5; 2; 0.51722
5; 3; 0.36688
5; 4; 0.40323
5; 5; 0.35047
5; 6; 0.53665
5; 7; 0.39903
5; 8; 0.54418
5; 9; 0.53278
5; 10; 0.39702
5; 11; 0.73563
5; 12; 0.57209
5; 13; 0.51541
5; 14; 0.61198
5; 15; 0.58526
5; 16; 0.42668
5; 17; 0.37361
5; 18; 0.65786
5; 19; 0.73511
5; 20; 0.62984
5; 21; 0.39994
5; 22; 0.40586
5; 23; 0.88712
5; 24; 0.56353
5; 25; 0.58175
5; 26; 0.50065
5; 27; 0.54603
5; 28; 0.66407
5; 29; 0.76973
5; 30; 0.55591
5; 31; 0.79891
5; 32; 0.79317
5; 33; 0.54718
5; 34; 0.79035
5; 35; 0.77446
5; 36; 0.42675
5; 37; 0.67438
5; 38; 0.55238
5; 39; 0.77543
5; 40; 0.75603
5; 41; 0.40153
5; 42; 0.40963
5; 43; 0.39622
5; 44; 0.76015
5; 45; 0.71665
5; 46; 0.60285
5; 47; 0.65038
5; 48; 0.60104
5; 49; 0.46793
5; 50; 0.48435
5; 51; 0.59287
5; 52; 0.56223
5; 53; 0.54277
5; 54; 0.50139
5; 55; 0.40343
5; 56; 0.56305
5; 57; 0.39256
5; 58; 0.28091
5; 59; 0.48851
5; 60; 0.52570
5; 61; 0.57673
5; 62; 0.51974
5; 63; 0.26608
6; 0; 0.26488
6; 1; 0.51617
6; 2; 0.61621
6; 3; 0.51224
6; 4; 0.52882
6; 5; 0.28130
6; 6; 0.61813
6; 7; 0.41963
6; 8; 0.54765
6; 9; 0.53060
6; 10; 0.53473
6; 11; 0.55349
6; 12; 0.31575
6; 13; 0.59055
6; 14; 0.47201
6; 15; 0.55486
6; 16; 0.48578
6; 17; 0.69745
6; 18; 0.55324
6; 19; 0.79520
6; 20; 0.71150
6; 21; 0.66076
6; 22; 0.79346
6; 23; 0.62021
6; 24; 0.68952
6; 25; 0.84460
6; 26; 0.77159
6; 27; 0.70316
6; 28; 0.72847
6; 29; 0.75002
6; 30; 0.71481
6; 31; 0.73834
6; 32; 0.71017
6; 33; 0.51285
6; 34; 0.41916
6; 35; 0.50348
6; 36; 0.42043
6; 37; 0.78173
6; 38; 0.72347
6; 39; 0.65757
6; 40; 0.57309
6; 41; 0.41139
6; 42; 0.62736
6; 43; 0.72329
6; 44; 0.50288
6; 45; 0.66662
6; 46; 0.51094
6; 47; 0.41850
6; 48; 0.59722
6; 49; 0.32340
6; 50; 0.31231
6; 51; 0.31614
6; 52; 0.29142
6; 53; 0.42706
6; 54; 0.64432
6; 55; 0.27979
6; 56; 0.28126
6; 57; 0.58045
6; 58; 0.54278
6; 59; 0.64859
6; 60; 0.59289
6; 61; 0.50910
6; 62; 0.52593
6; 63; 0.42429
7; 0; 0.46374
7; 1; 0.51280
7; 2; 0.32841
7; 3; 0.26851
7; 4; 0.45192
7; 5; 0.27699
7; 6; 0.37990
7; 7; 0.34219
7; 8; 0.41160
7; 9; 0.37089
7; 10; 0.28899
7; 11; 0.53352
7; 12; 0.47675
7; 13; 0.31747
7; 14; 0.31700
7; 15; 0.55243
7; 16; 0.56151
7; 17; 0.60094
7; 18; 0.63631
7; 19; 0.51684
7; 20; 0.79220
7; 21; 0.74272
7; 22; 0.72825
7; 23; 0.68292
7; 24; 0.65583
7; 25; 0.55720
7; 26; 0.73633
7; 27; 0.71621
7; 28; 0.71691
7; 29; 0.75242
7; 30; 0.63046
7; 31; 0.56991
7; 32; 0.58447
7; 33; 0.41881
7; 34; 0.67785
