step; process; value
1; 0; I should compute pixel 0
1; 1; 0.13560
1; 2; 0.13973
1; 3; 0.14360
1; 4; 0.14039
1; 5; 0.14595
1; 6; 0.17598
1; 7; 0.15503
1; 8; 0.14224
1; 9; 0.14827
1; 10; 0.15611
1; 11; 0.17551
1; 12; 0.16969
1; 13; 0.17310
1; 14; 0.17640
1; 15; 0.17534
1; 16; 0.20287
1; 17; 0.21203
1; 18; 0.22622
1; 19; 0.21600
1; 20; 0.24440
1; 21; 0.24188
1; 22; 0.24506
1; 23; 0.26885
1; 24; 0.25801
1; 25; 0.24966
1; 26; 0.25647
1; 27; 0.25550
1; 28; 0.26153
1; 29; 0.27200
1; 30; 0.25905
1; 31; 0.26242
1; 32; 0.26755
1; 33; 0.29757
1; 34; 0.25213
1; 35; 0.27629
1; 36; 0.25454
1; 37; 0.26482
1; 38; 0.24866
1; 39; 0.25269
1; 40; 0.25597
1; 41; 0.25479
1; 42; 0.26677
1; 43; 0.22719
1; 44; 0.21731
1; 45; 0.21258
1; 46; 0.21926
1; 47; 0.19415
1; 48; 0.18150
1; 49; 0.23968
1; 50; 0.17307
1; 51; 0.17006
1; 52; 0.16418
1; 53; 0.16715
1; 54; 0.14879
1; 55; 0.14307
1; 56; 0.17427
1; 57; 0.14995
1; 58; 0.14935
1; 59; 0.15629
1; 60; 0.14742
1; 61; 0.15589
1; 62; 0.13657
1; 63; 0.13510
2; 0; I should compute pixel 0
2; 1; 0.16062
2; 2; 0.15043
2; 3; 0.14798
2; 4; 0.14046
2; 5; 0.14612
2; 6; 0.15454
2; 7; 0.14823
2; 8; 0.15882
2; 9; 0.15848
2; 10; 0.15134
2; 11; 0.15705
2; 12; 0.16986
2; 13; 0.17650
2; 14; 0.17360
2; 15; 0.17941
2; 16; 0.19326
2; 17; 0.28506
2; 18; 0.21667
2; 19; 0.21648
2; 20; 0.24075
2; 21; 0.24098
2; 22; 0.24763
2; 23; 0.26159
2; 24; 0.25388
2; 25; 0.25170
2; 26; 0.25742
2; 27; 0.25333
2; 28; 0.25619
2; 29; 0.28726
2; 30; 0.25778
2; 31; 0.26633
2; 32; 0.26975
2; 33; 0.25460
2; 34; 0.26649
2; 35; 0.26238
2; 36; 0.25422
2; 37; 0.25266
2; 38; 0.24732
2; 39; 0.25150
2; 40; 0.28276
2; 41; 0.24523
2; 42; 0.24119
2; 43; 0.22768
2; 44; 0.22369
2; 45; 0.21442
2; 46; 0.21356
2; 47; 0.19977
2; 48; 0.17607
2; 49; 0.17788
2; 50; 0.17333
2; 51; 0.17058
2; 52; 0.16017
2; 53; 0.16016
2; 54; 0.16521
2; 55; 0.14198
2; 56; 0.14803
2; 57; 0.16569
2; 58; 0.15326
2; 59; 0.14195
2; 60; 0.16296
2; 61; 0.14025
2; 62; 0.13624
2; 63; 0.13470
3; 0; I should compute pixel 0
3; 1; 0.13966
3; 2; 0.13817
3; 3; 0.13850
3; 4; 0.14133
3; 5; 0.14827
3; 6; 0.14855
3; 7; 0.14965
3; 8; 0.14168
3; 9; 0.14612
3; 10; 0.15086
3; 11; 0.15598
3; 12; 0.16930
3; 13; 0.18023
3; 14; 0.18687
3; 15; 0.17606
3; 16; 0.19384
3; 17; 0.21369
3; 18; 0.20853
3; 19; 0.23323
3; 20; 0.22826
3; 21; 0.27560
3; 22; 0.25904
3; 23; 0.27627
3; 24; 0.25118
3; 25; 0.25361
3; 26; 0.26155
3; 27; 0.25366
3; 28; 0.26442
3; 29; 0.25429
3; 30; 0.25933
3; 31; 0.26340
3; 32; 0.27024
3; 33; 0.26605
3; 34; 0.26421
3; 35; 0.27280
3; 36; 0.27193
3; 37; 0.25217
3; 38; 0.25911
3; 39; 0.25115
3; 40; 0.25860
3; 41; 0.25861
3; 42; 0.24335
3; 43; 0.22698
3; 44; 0.21401
3; 45; 0.21097
3; 46; 0.21180
3; 47; 0.19347
3; 48; 0.18278
3; 49; 0.23732
3; 50; 0.17330
3; 51; 0.17030
3; 52; 0.15583
3; 53; 0.15139
3; 54; 0.15033
3; 55; 0.15799
3; 56; 0.14928
3; 57; 0.15522
3; 58; 0.14544
3; 59; 0.13978
3; 60; 0.14573
3; 61; 0.13956
3; 62; 0.13585
3; 63; 0.15107
4; 0; I should compute pixel 0
4; 1; 0.14462
4; 2; 0.13832
4; 3; 0.14191
4; 4; 0.14562
4; 5; 0.14647
4; 6; 0.14955
4; 7; 0.14847
4; 8; 0.15752
4; 9; 0.14609
4; 10; 0.17185
4; 11; 0.16392
4; 12; 0.17040
4; 13; 0.21056
4; 14; 0.17428
4; 15; 0.17519
4; 16; 0.19442
4; 17; 0.21458
4; 18; 0.22184
4; 19; 0.21417
4; 20; 0.23166
4; 21; 0.24073
4; 22; 0.24993
4; 23; 0.26373
4; 24; 0.25207
4; 25; 0.24503
4; 26; 0.25198
4; 27; 0.27403
4; 28; 0.27346
4; 29; 0.25487
4; 30; 0.27371
4; 31; 0.26357
4; 32; 0.26694
4; 33; 0.27752
4; 34; 0.25187
4; 35; 0.25944
4; 36; 0.26242
4; 37; 0.25480
4; 38; 0.24473
4; 39; 0.25158
4; 40; 0.26261
4; 41; 0.25574
4; 42; 0.23965
4; 43; 0.22938
4; 44; 0.21991
4; 45; 0.27533
4; 46; 0.21850
4; 47; 0.19385
4; 48; 0.17594
4; 49; 0.17453
4; 50; 0.17615
4; 51; 0.18007
4; 52; 0.15604
4; 53; 0.15660
4; 54; 0.14662
4; 55; 0.14731
4; 56; 0.14732
4; 57; 0.14982
4; 58; 0.14576
4; 59; 0.14312
4; 60; 0.13910
4; 61; 0.14072
4; 62; 0.13628
4; 63; 0.13547
5; 0; I should compute pixel 0
