step; process; value
4; 62; 0.49104
4; 63; 0.62108
5; 0; 0.43784
5; 1; 0.36972
5; 2; 0.56320
5; 3; 0.46580
5; 4; 0.66253
5; 5; 0.54479
5; 6; 0.30334
5; 7; 0.38153
5; 8; 0.54896
5; 9; 0.44744
5; 10; 0.57451
5; 11; 0.61535
5; 12; 0.59484
5; 13; 0.45066
5; 14; 0.61103
5; 15; 0.56127
5; 16; 0.67706
5; 17; 0.65463
5; 18; 0.64198
5; 19; 1.00179
5; 20; 0.78631
5; 21; 0.58417
5; 22; 0.94988
5; 23; 0.55521
5; 24; 0.46279
5; 25; 0.65981
5; 26; 0.49387
5; 27; 0.94595
5; 28; 0.43424
5; 29; 0.98164
5; 30; 0.98811
5; 31; 0.73098
5; 32; 0.68790
5; 33; 0.97594
5; 34; 0.73584
5; 35; 0.66344
5; 36; 0.51774
5; 37; 0.49179
5; 38; 0.97361
5; 39; 0.66505
5; 40; 0.66310
5; 41; 0.86902
5; 42; 0.61162
5; 43; 0.75279
5; 44; 0.86959
5; 45; 0.46858
5; 46; 0.43738
5; 47; 0.30586
5; 48; 0.59785
5; 49; 0.30849
5; 50; 0.59840
5; 51; 0.56118
5; 52; 0.66440
5; 53; 0.56187
5; 54; 0.38976
5; 55; 0.56293
5; 56; 0.54890
5; 57; 0.57206
5; 58; 0.57412
5; 59; 0.54582
5; 60; 0.60414
5; 61; 0.50328
5; 62; 0.55723
5; 63; 0.30010
6; 0; 0.43567
6; 1; 0.42173
6; 2; 0.45967
6; 3; 0.60753
6; 4; 0.35311
6; 5; 0.56260
6; 6; 0.37828
6; 7; 0.30481
6; 8; 0.42192
6; 9; 0.56138
6; 10; 0.44862
6; 11; 0.74417
6; 12; 0.67105
6; 13; 0.49594
6; 14; 0.60345
6; 15; 0.53674
6; 16; 0.38836
6; 17; 0.59503
6; 18; 0.62973
6; 19; 0.73971
6; 20; 1.13628
6; 21; 0.82376
6; 22; 0.62319
6; 23; 0.43915
6; 24; 0.46936
6; 25; 0.82996
6; 26; 0.84157
6; 27; 0.70630
6; 28; 0.82978
6; 29; 0.86205
6; 30; 0.69543
6; 31; 0.62978
6; 32; 0.76403
6; 33; 0.83401
6; 34; 0.80877
6; 35; 0.53543
6; 36; 0.95640
6; 37; 0.87055
6; 38; 0.66283
6; 39; 0.59326
6; 40; 0.30612
6; 41; 0.89438
6; 42; 0.44294
6; 43; 1.02019
6; 44; 0.90788
6; 45; 0.67303
6; 46; 0.73638
6; 47; 0.58323
6; 48; 0.60062
6; 49; 0.39400
6; 50; 0.48234
6; 51; 0.60387
6; 52; 0.59769
6; 53; 0.42645
6; 54; 0.58700
6; 55; 0.57400
6; 56; 0.39841
6; 57; 0.44840
6; 58; 0.40222
6; 59; 0.66393
6; 60; 0.48469
6; 61; 0.30580
6; 62; 0.42894
6; 63; 0.49381
7; 0; 0.43744
7; 1; 0.52283
7; 2; 0.57784
7; 3; 0.59537
7; 4; 0.49472
7; 5; 0.56150
7; 6; 0.32743
7; 7; 0.54551
7; 8; 0.41070
7; 9; 0.30662
7; 10; 0.30712
7; 11; 0.56877
7; 12; 0.86950
7; 13; 0.63647
7; 14; 0.59068
7; 15; 0.36563
7; 16; 0.59939
7; 17; 0.73550
7; 18; 0.63270
7; 19; 1.03612
7; 20; 1.00113
7; 21; 0.58952
7; 22; 0.93179
7; 23; 0.58576
7; 24; 0.75803
7; 25; 0.94969
7; 26; 0.61381
7; 27; 0.77337
7; 28; 0.83854
7; 29; 0.63835
7; 30; 0.51458
7; 31; 0.78088
7; 32; 0.50156
7; 33; 0.81119
7; 34; 0.87467
7; 35; 0.52936
7; 36; 0.51960
7; 37; 0.62130
7; 38; 0.92855
7; 39; 0.58763
7; 40; 0.77378
7; 41; 0.48653
7; 42; 0.90697
7; 43; 0.73651
7; 44; 1.07851
7; 45; 0.35088
7; 46; 0.54974
7; 47; 0.51337
7; 48; 0.39910
7; 49; 0.40938
7; 50; 0.62104
7; 51; 0.80477
7; 52; 0.77115
7; 53; 0.58959
7; 54; 0.73783
7; 55; 0.68821
7; 56; 0.39511
7; 57; 0.67197
7; 58; 0.30663
7; 59; 0.68851
7; 60; 0.32001
7; 61; 0.45919
7; 62; 0.44103
7; 63; 0.30077
8; 0; 0.22492
8; 1; 0.36122
8; 2; 0.52984
8; 3; 0.42378
8; 4; 0.68031
8; 5; 0.45379
8; 6; 0.59316
8; 7; 0.49628
8; 8; 0.38940
8; 9; 0.37870
8; 10; 0.58456
8; 11; 0.41772
8; 12; 0.75320
8; 13; 0.59290
8; 14; 0.52264
8; 15; 0.54729
8; 16; 0.38644
8; 17; 0.50573
8; 18; 0.75320
8; 19; 0.96853
8; 20; 0.91534
8; 21; 0.89267
8; 22; 0.79811
8; 23; 0.59875
8; 24; 0.51410
8; 25; 0.93700
8; 26; 0.91778
8; 27; 0.96800
8; 28; 0.63500
8; 29; 0.88472
8; 30; 0.65102
8; 31; 0.55124
8; 32; 0.67464
8; 33; 0.63371
8; 34; 0.88376
8; 35; 0.42903
8; 36; 0.76738
8; 37; 0.51610
8; 38; 0.61961
8; 39; 0.62273
8; 40; 0.59404
8; 41; 0.77664
8; 42; 0.57376
8; 43; 0.99428
8; 44; 0.83772
8; 45; 0.43755
8; 46; 0.65442
8; 47; 0.67128
8; 48; 0.42122
8; 49; 0.55123
8; 50; 0.42398
8; 51; 0.46154
8; 52; 0.61001
8; 53; 0.59500
8; 54; 0.59089
8; 55; 0.50031
8; 56; 0.39304
8; 57; 0.59035
8; 58; 0.42716
8; 59; 0.35737
8; 60; 0.41156
8; 61; 0.45922
8; 62; 0.59237
8; 63; 0.59571
9; 0; 0.44124
9; 1; 0.46610
9; 2; 0.53179
9; 3; 0.54305
9; 4; 0.46997
9; 5; 0.30759
9; 6; 0.46589
9; 7; 0.30239
9; 8; 0.74480
9; 9; 0.30732
9; 10; 0.61730
9; 11; 0.65389
9; 12; 0.59623
9; 13; 0.32835
9; 14; 0.53791
9; 15; 0.65267
9; 16; 0.57250
9; 17; 0.65695
9; 18; 0.44384
9; 19; 1.09539
9; 20; 0.74079
9; 21; 0.58115
9; 22; 0.78651
9; 23; 0.57753
9; 24; 0.48253
9; 25; 0.85476
9; 26; 0.49880
9; 27; 0.66034
9; 28; 0.44802
9; 29; 0.75517
9; 30; 0.80363
9; 31; 0.69601
9; 32; 0.80054
9; 33; 0.91260
9; 34; 0.75043
9; 35; 0.76391
9; 36; 0.91207
9; 37; 0.47965
9; 38; 0.91860
9; 39; 0.41357
9; 40; 0.55756
9; 41; 0.87218
9; 42; 0.70700
9; 43; 1.06508
9; 44; 0.78909
9; 45; 0.34154
9; 46; 0.50909
9; 47; 0.57519
9; 48; 0.65935
9; 49; 0.65618
9; 50; 0.68258
9; 51; 0.78282
9; 52; 0.86705
9; 53; 0.37520
9; 54; 0.40997
9; 55; 0.30381
9; 56; 0.30141
9; 57; 0.39964
9; 58; 0.68168
9; 59; 0.52564
9; 60; 0.62127
9; 61; 0.44468
9; 62; 0.38771
9; 63; 0.46745
10; 0; 0.34560
