step; process; value
1; 0; 0.42987
1; 1; 0.34094
1; 2; 0.46905
1; 3; 0.36405
1; 4; 0.52262
1; 5; 0.42139
1; 6; 0.57630
1; 7; 0.59868
1; 8; 0.37095
1; 9; 0.36207
1; 10; 0.53298
1; 11; 0.30209
1; 12; 0.60017
1; 13; 0.69461
1; 14; 0.47923
1; 15; 0.49842
1; 16; 0.58628
1; 17; 0.37348
1; 18; 0.58440
1; 19; 0.56048
1; 20; 0.47913
1; 21; 0.74731
1; 22; 0.75115
1; 23; 0.42075
1; 24; 0.70609
1; 25; 0.56580
1; 26; 0.52936
1; 27; 0.64379
1; 28; 0.57488
1; 29; 0.73206
1; 30; 0.62986
1; 31; 0.61318
1; 32; 0.43267
1; 33; 0.55853
1; 34; 0.76525
1; 35; 0.63048
1; 36; 0.42667
1; 37; 0.62921
1; 38; 0.52405
1; 39; 0.41580
1; 40; 0.78700
1; 41; 0.80095
1; 42; 0.68662
1; 43; 0.54386
1; 44; 0.62002
1; 45; 0.70517
1; 46; 0.49853
1; 47; 0.58952
1; 48; 0.57753
1; 49; 0.59026
1; 50; 0.44656
1; 51; 0.58461
1; 52; 0.55340
1; 53; 0.35704
1; 54; 0.36060
1; 55; 0.49998
1; 56; 0.64587
1; 57; 0.44714
1; 58; 0.27943
1; 59; 0.47950
1; 60; 0.52073
1; 61; 0.58479
1; 62; 0.41171
1; 63; 0.27155
2; 0; 0.26244
2; 1; 0.56186
2; 2; 0.27225
2; 3; 0.51842
2; 4; 0.38869
2; 5; 0.49906
2; 6; 0.35358
2; 7; 0.41710
2; 8; 0.53635
2; 9; 0.44096
2; 10; 0.56168
2; 11; 0.51125
2; 12; 0.48965
2; 13; 0.46881
2; 14; 0.69710
2; 15; 0.62738
2; 16; 0.64505
2; 17; 0.47246
2; 18; 0.61585
2; 19; 0.71434
2; 20; 0.53423
2; 21; 0.70821
2; 22; 0.41223
2; 23; 0.74623
2; 24; 0.73423
2; 25; 0.50030
2; 26; 0.55385
2; 27; 0.75127
2; 28; 0.59698
2; 29; 0.41514
2; 30; 0.78133
2; 31; 0.55778
2; 32; 0.65076
2; 33; 0.43493
2; 34; 0.71369
2; 35; 0.64288
2; 36; 0.43259
2; 37; 0.70352
2; 38; 0.64102
2; 39; 0.49513
2; 40; 0.64928
2; 41; 0.72731
2; 42; 0.54091
2; 43; 0.54241
2; 44; 0.70153
2; 45; 0.77758
2; 46; 0.48346
2; 47; 0.63158
2; 48; 0.53974
2; 49; 0.31850
2; 50; 0.44800
2; 51; 0.34816
2; 52; 0.55792
2; 53; 0.35876
2; 54; 0.54706
2; 55; 0.53086
2; 56; 0.28161
2; 57; 0.54267
2; 58; 0.38222
2; 59; 0.51488
2; 60; 0.52375
2; 61; 0.49029
